mutant_id,project,version,class_name,method_name,line_number,mutation_operator,original_code,mutated_code,surrounding_context,random_seed
JacksonCore_9f_mutant_1198,JacksonCore,9f,com.fasterxml.jackson.core.json.UTF8StreamJsonParser,addName,2342,org.pitest.mutationtest.engine.gregor.mutators.ConditionalsBoundaryMutator,if (lastQuadBytes < 4) {,PIT_MUTATION: org.pitest.mutationtest.engine.gregor.mutators.ConditionalsBoundaryMutator,"  2339:         // Ok. Now we have the character array, and can construct the String
  2340:         String baseName = new String(cbuf, 0, cix);
  2341:         // And finally, un-align if necessary
>>2342:         if (lastQuadBytes < 4) {
  2343:             quads[qlen-1] = lastQuad;
  2344:         }
  2345:         return _symbols.addName(baseName, quads, qlen);",123
Codec_8f_mutant_43,Codec,8f,org.apache.commons.codec.binary.Base64,decode,547,org.pitest.mutationtest.engine.gregor.mutators.MathMutator,x = (x << 6) + result;,PIT_MUTATION: org.pitest.mutationtest.engine.gregor.mutators.MathMutator,"  544:                     int result = DECODE_TABLE[b];
  545:                     if (result >= 0) {
  546:                         modulus = (++modulus) % 4;
>>547:                         x = (x << 6) + result;
  548:                         if (modulus == 0) {
  549:                             buffer[pos++] = (byte) ((x >> 16) & MASK_8BITS);
  550:                             buffer[pos++] = (byte) ((x >> 8) & MASK_8BITS);",123
Csv_9f_mutant_5,Csv,9f,org.apache.commons.csv.CSVRecord,get,100,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,if (index == null) {,PIT_MUTATION: org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,"  97:                     ""No header mapping was specified, the record values can't be accessed by name"");
  98:         }
  99:         final Integer index = mapping.get(name);
>>100:         if (index == null) {
  101:             throw new IllegalArgumentException(String.format(""Mapping for %s not found, expected one of %s"", name,
  102:                     mapping.keySet()));
  103:         }",123
Csv_1f_mutant_19,Csv,1f,org.apache.commons.csv.ExtendedBufferedReader,read,81,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,if (length == 0) {,PIT_MUTATION: org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,"  78: 
  79:     @Override
  80:     public int read(char[] buf, int offset, int length) throws IOException {
>>81:         if (length == 0) {
  82:             return 0;
  83:         }
  84: ",123
JacksonCore_9f_mutant_796,JacksonCore,9f,com.fasterxml.jackson.core.json.UTF8StreamJsonParser,_readBinary,589,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,if (_inputPtr >= _inputEnd) {,PIT_MUTATION: org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,"  586:                 }
  587:                 if (bits == Base64Variant.BASE64_VALUE_PADDING) {
  588:                     // Ok, must get padding
>>589:                     if (_inputPtr >= _inputEnd) {
  590:                         loadMoreGuaranteed();
  591:                     }
  592:                     ch = _inputBuffer[_inputPtr++] & 0xFF;",123
Codec_3f_mutant_576,Codec,3f,org.apache.commons.codec.language.DoubleMetaphone,isSlavoGermanic,890,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,return value.indexOf('W') > -1 || value.indexOf('K') > -1 ||,PIT_MUTATION: org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,"  887:      * of slavo-germanic origin if it contians any of 'W', 'K', 'CZ', or 'WITZ'.
  888:      */
  889:     private boolean isSlavoGermanic(String value) {
>>890:         return value.indexOf('W') > -1 || value.indexOf('K') > -1 ||
  891:             value.indexOf(""CZ"") > -1 || value.indexOf(""WITZ"") > -1;
  892:     }
  893: ",123
JacksonCore_9f_mutant_780,JacksonCore,9f,com.fasterxml.jackson.core.json.UTF8StreamJsonParser,_readBinary,637,org.pitest.mutationtest.engine.gregor.mutators.MathMutator,buffer[outputPtr++] = (byte) (decodedData >> 8);,PIT_MUTATION: org.pitest.mutationtest.engine.gregor.mutators.MathMutator,"  634:             // otherwise, our triplet is now complete
  635:             decodedData = (decodedData << 6) | bits;
  636:             buffer[outputPtr++] = (byte) (decodedData >> 16);
>>637:             buffer[outputPtr++] = (byte) (decodedData >> 8);
  638:             buffer[outputPtr++] = (byte) decodedData;
  639:         }
  640:         _tokenIncomplete = false;",123
JacksonCore_9f_mutant_2733,JacksonCore,9f,com.fasterxml.jackson.core.json.ReaderBasedJsonParser,nextToken,665,org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,_matchNull();,PIT_MUTATION: org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,"  662:             t = JsonToken.VALUE_FALSE;
  663:             break;
  664:         case 'n':
>>665:             _matchNull();
  666:             t = JsonToken.VALUE_NULL;
  667:             break;
  668: ",123
Codec_6f_mutant_3,Codec,6f,org.apache.commons.codec.binary.Base64InputStream,read,114,org.pitest.mutationtest.engine.gregor.mutators.ConditionalsBoundaryMutator,return singleByte[0] < 0 ? 256 + singleByte[0] : singleByte[0];,PIT_MUTATION: org.pitest.mutationtest.engine.gregor.mutators.ConditionalsBoundaryMutator,"  111:             r = read(singleByte, 0, 1);
  112:         }
  113:         if (r > 0) {
>>114:             return singleByte[0] < 0 ? 256 + singleByte[0] : singleByte[0];
  115:         }
  116:         return -1;
  117:     }",123
JacksonCore_3f_mutant_1448,JacksonCore,3f,com.fasterxml.jackson.core.json.UTF8StreamJsonParser,readBinaryValue,472,org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,_ioContext.releaseBase64Buffer(buf);,PIT_MUTATION: org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,"  469:         try {
  470:             return _readBinary(b64variant, out, buf);
  471:         } finally {
>>472:             _ioContext.releaseBase64Buffer(buf);
  473:         }
  474:     }
  475: ",123
JacksonCore_4f_mutant_33,JacksonCore,4f,com.fasterxml.jackson.core.util.TextBuffer,append,446,org.pitest.mutationtest.engine.gregor.mutators.ConditionalsBoundaryMutator,if (max > 0) {,PIT_MUTATION: org.pitest.mutationtest.engine.gregor.mutators.ConditionalsBoundaryMutator,"  443:             return;
  444:         }
  445:         // No room for all, need to copy part(s):
>>446:         if (max > 0) {
  447:             System.arraycopy(c, start, curr, _currentSize, max);
  448:             start += max;
  449:             len -= max;",123
JacksonCore_2f_mutant_725,JacksonCore,2f,com.fasterxml.jackson.core.json.UTF8StreamJsonParser,_readBinary,514,org.pitest.mutationtest.engine.gregor.mutators.MathMutator,decodedData = (decodedData << 6) | bits;,PIT_MUTATION: org.pitest.mutationtest.engine.gregor.mutators.MathMutator,"  511:             if (bits < 0) {
  512:                 bits = _decodeBase64Escape(b64variant, ch, 1);
  513:             }
>>514:             decodedData = (decodedData << 6) | bits;
  515: 
  516:             // third base64 char; can be padding, but not ws
  517:             if (_inputPtr >= _inputEnd) {",123
JacksonCore_3f_mutant_313,JacksonCore,3f,com.fasterxml.jackson.core.json.UTF8StreamJsonParser,_handleApos,2436,org.pitest.mutationtest.engine.gregor.mutators.returns.NullReturnValsMutator,return JsonToken.VALUE_STRING;,PIT_MUTATION: org.pitest.mutationtest.engine.gregor.mutators.returns.NullReturnValsMutator,"  2433:         }
  2434:         _textBuffer.setCurrentLength(outPtr);
  2435: 
>>2436:         return JsonToken.VALUE_STRING;
  2437:     }
  2438: 
  2439:     /**",123
Codec_5f_mutant_112,Codec,5f,org.apache.commons.codec.binary.Base64,encode,502,org.pitest.mutationtest.engine.gregor.mutators.ConditionalsBoundaryMutator,if (buffer == null || buffer.length - pos < encodeSize) {,PIT_MUTATION: org.pitest.mutationtest.engine.gregor.mutators.ConditionalsBoundaryMutator,"  499:             }
  500:         } else {
  501:             for (int i = 0; i < inAvail; i++) {
>>502:                 if (buffer == null || buffer.length - pos < encodeSize) {
  503:                     resizeBuffer();
  504:                 }
  505:                 modulus = (++modulus) % 3;",123
JacksonCore_3f_mutant_1395,JacksonCore,3f,com.fasterxml.jackson.core.json.UTF8StreamJsonParser,parseLongName,1597,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,if (i == INT_QUOTE) {,PIT_MUTATION: org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,"  1594: 
  1595:             int i = _inputBuffer[_inputPtr++] & 0xFF;
  1596:             if (codes[i] != 0) {
>>1597:                 if (i == INT_QUOTE) {
  1598:                     return findName(_quadBuffer, qlen, q, 1);
  1599:                 }
  1600:                 return parseEscapedName(_quadBuffer, qlen, q, i, 1);",123
Codec_4f_mutant_245,Codec,4f,org.apache.commons.codec.binary.Base64,toIntegerBytes,1033,org.pitest.mutationtest.engine.gregor.mutators.MathMutator,if ((bigInt.bitLength() % 8) == 0) {,PIT_MUTATION: org.pitest.mutationtest.engine.gregor.mutators.MathMutator,"  1030:         int len = bigBytes.length;
  1031: 
  1032:         // if bigInt is exactly byte-aligned, just skip signbit in copy
>>1033:         if ((bigInt.bitLength() % 8) == 0) {
  1034:             startSrc = 1;
  1035:             len--;
  1036:         }",123
Codec_8f_mutant_257,Codec,8f,org.apache.commons.codec.binary.Base64InputStream,read,113,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,if (r > 0) {,PIT_MUTATION: org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,"  110:         while (r == 0) {
  111:             r = read(singleByte, 0, 1);
  112:         }
>>113:         if (r > 0) {
  114:             return singleByte[0] < 0 ? 256 + singleByte[0] : singleByte[0];
  115:         }
  116:         return -1;",123
Codec_5f_mutant_118,Codec,5f,org.apache.commons.codec.binary.Base64,encode,472,org.pitest.mutationtest.engine.gregor.mutators.MathMutator,if (buffer == null || buffer.length - pos < encodeSize) {,PIT_MUTATION: org.pitest.mutationtest.engine.gregor.mutators.MathMutator,"  469:         // encoding.
  470:         if (inAvail < 0) {
  471:             eof = true;
>>472:             if (buffer == null || buffer.length - pos < encodeSize) {
  473:                 resizeBuffer();
  474:             }
  475:             switch (modulus) {",123
