mutant_id,project,version,class_name,method_name,line_number,mutation_operator,original_code,mutated_code,surrounding_context,random_seed
JacksonCore_9f_mutant_2096,JacksonCore,9f,com.fasterxml.jackson.core.json.ReaderBasedJsonParser,_parseName2,1293,org.pitest.mutationtest.engine.gregor.mutators.MathMutator,char c = _inputBuffer[_inputPtr++];,PIT_MUTATION: org.pitest.mutationtest.engine.gregor.mutators.MathMutator,"  1290:                     _reportInvalidEOF("": was expecting closing '""+((char) endChar)+""' for name"");
  1291:                 }
  1292:             }
>>1293:             char c = _inputBuffer[_inputPtr++];
  1294:             int i = (int) c;
  1295:             if (i <= INT_BACKSLASH) {
  1296:                 if (i == INT_BACKSLASH) {",42
JacksonCore_10f_mutant_466,JacksonCore,10f,com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer,rehash,1080,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,if (newSize > MAX_T_SIZE) {,PIT_MUTATION: org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,"  1077:         /* 13-Mar-2010, tatu: Let's guard against OOME that could be caused by
  1078:          *    large documents with unique (or mostly so) names
  1079:          */
>>1080:         if (newSize > MAX_T_SIZE) {
  1081:             nukeSymbols(true);
  1082:             return;
  1083:         }",42
Csv_4f_mutant_33,Csv,4f,org.apache.commons.csv.CSVParser,nextRecord,430,org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,this.addRecordValue();,PIT_MUTATION: org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,"  427:             this.lexer.nextToken(this.reusableToken);
  428:             switch (this.reusableToken.type) {
  429:             case TOKEN:
>>430:                 this.addRecordValue();
  431:                 break;
  432:             case EORECORD:
  433:                 this.addRecordValue();",42
JacksonCore_9f_mutant_569,JacksonCore,9f,com.fasterxml.jackson.core.json.UTF8StreamJsonParser,_parseFloat,1579,org.pitest.mutationtest.engine.gregor.mutators.MathMutator,c = (int) _inputBuffer[_inputPtr++] & 0xFF;,PIT_MUTATION: org.pitest.mutationtest.engine.gregor.mutators.MathMutator,"  1576:                 if (_inputPtr >= _inputEnd) {
  1577:                     loadMoreGuaranteed();
  1578:                 }
>>1579:                 c = (int) _inputBuffer[_inputPtr++] & 0xFF;
  1580:             }
  1581: 
  1582:             exp_loop:",42
JacksonCore_10f_mutant_154,JacksonCore,10f,com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer,_findSecondary,712,org.pitest.mutationtest.engine.gregor.mutators.MathMutator,if ((hash == hashArea[offset]) && (qlen == hashArea[offset+3])) {,PIT_MUTATION: org.pitest.mutationtest.engine.gregor.mutators.MathMutator,"  709:             }
  710:         }
  711:         for (offset = _spilloverStart(); offset < _spilloverEnd; offset += 4) {
>>712:             if ((hash == hashArea[offset]) && (qlen == hashArea[offset+3])) {
  713:                 if (_verifyLongName(q, qlen, hashArea[offset+1])) {
  714:                     return _names[offset >> 2];
  715:                 }",42
JacksonCore_1f_mutant_97,JacksonCore,1f,com.fasterxml.jackson.core.io.NumberInput,parseInt,80,org.pitest.mutationtest.engine.gregor.mutators.IncrementsMutator,c = str.charAt(offset++);,PIT_MUTATION: org.pitest.mutationtest.engine.gregor.mutators.IncrementsMutator,"  77:             if (length == 1 || length > 10) {
  78:                 return Integer.parseInt(str);
  79:             }
>>80:             c = str.charAt(offset++);
  81:         } else {
  82:             if (length > 9) {
  83:                 return Integer.parseInt(str);",42
JacksonCore_9f_mutant_2550,JacksonCore,9f,com.fasterxml.jackson.core.json.ReaderBasedJsonParser,_skipWSOrEnd2,1922,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,if (_skipYAMLComment()) {,PIT_MUTATION: org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,"  1919:                     continue;
  1920:                 }
  1921:                 if (i == INT_HASH) {
>>1922:                     if (_skipYAMLComment()) {
  1923:                         continue;
  1924:                     }
  1925:                 }",42
Codec_8f_mutant_175,Codec,8f,org.apache.commons.codec.binary.Base64,encodeBase64,787,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,if (binaryData == null || binaryData.length == 0) {,PIT_MUTATION: org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,"  784:      * @since 1.4
  785:      */
  786:     public static byte[] encodeBase64(byte[] binaryData, boolean isChunked, boolean urlSafe, int maxResultSize) {
>>787:         if (binaryData == null || binaryData.length == 0) {
  788:             return binaryData;
  789:         }
  790: ",42
JacksonCore_4f_mutant_10,JacksonCore,4f,com.fasterxml.jackson.core.util.TextBuffer,append,483,org.pitest.mutationtest.engine.gregor.mutators.ConditionalsBoundaryMutator,if (max > 0) {,PIT_MUTATION: org.pitest.mutationtest.engine.gregor.mutators.ConditionalsBoundaryMutator,"  480:             return;
  481:         }
  482:         // No room for all, need to copy part(s):
>>483:         if (max > 0) {
  484:             str.getChars(offset, offset+max, curr, _currentSize);
  485:             len -= max;
  486:             offset += max;",42
JacksonCore_2f_mutant_1462,JacksonCore,2f,com.fasterxml.jackson.core.json.ReaderBasedJsonParser,_closeInput,167,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,if (_ioContext.isResourceManaged() || isEnabled(Feature.AUTO_CLOSE_SOURCE)) {,PIT_MUTATION: org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,"  164:          *   means that buffer recycling won't work correctly.
  165:          */
  166:         if (_reader != null) {
>>167:             if (_ioContext.isResourceManaged() || isEnabled(Feature.AUTO_CLOSE_SOURCE)) {
  168:                 _reader.close();
  169:             }
  170:             _reader = null;",42
